time,use_house_overall,generated_solar,dishwasher,homeoffice,fridge,winecellar,garagedoor,barn,well,microwave,livingroom,temperature,humidity,visibility,pressure,windspeed,cloudcover,windbearing,precipprobability,furnace,kitchen,year,month,day,weekofyear,hour,minute,wd_Friday,wd_Monday,wd_Saturday,wd_Sunday,wd_Thursday,wd_Tuesday,wd_Wednesday,time_Afternoon,time_Evening,time_Morning,time_Night,hour_sin,hour_cos
2016-01-01 05:00:00,1.0441297222333334,0.0033069444333333,6.361998333333333e-05,0.2418141666166667,0.0378611111333333,0.0633505555499999,0.01304611105,0.0388805555833333,0.0010422223666666,0.0216516667,0.0015047223,36.131,0.6196666666666667,10.0,1016.888,9.150333333333332,0.75,282.1,0.0,0.3931880555333333,0.0002735227888888,2016.0,1.0,1.0,53.0,5,29.5,True,False,False,False,False,False,False,False,False,True,False,0.9659258262890683,0.25881904510252074
2016-01-01 06:00:00,0.9181669444666668,0.0034216666666666,9.917223333333332e-05,0.0432936111,0.0755219444333333,0.1129416667,0.0128361110833333,0.0391813889,0.0010208334333333,0.0042161110833333,0.0016180555666666,35.83866666666666,0.61,10.0,1016.232,8.283999999999999,0.75,284.73333333333335,0.0,0.4567075000166666,0.0002495414888888,2016.0,1.0,1.0,53.0,6,29.5,True,False,False,False,False,False,False,False,False,True,False,1.0,6.123233995736766e-17
2016-01-01 07:00:00,0.7147361110833333,0.0034483333333333,4.2506666666666664e-05,0.0434161110666666,0.0594855556,0.00718416665,0.0132986110666666,0.0344391666666666,0.0010138889333333,0.0042455555333333,0.0016286111,35.385,0.613,10.0,1015.989,7.926999999999999,0.75,279.4,0.0,0.37217,0.0002421347944444,2016.0,1.0,1.0,53.0,7,29.5,True,False,False,False,False,False,False,False,False,True,False,0.9659258262890683,-0.25881904510252063
2016-01-01 08:00:00,0.9600127777833334,0.0034474999666666,0.0001383372666666,0.0650138889,0.06041194445,0.0070447222333333,0.0129252777833333,0.0341950000333333,0.001016389,0.0042741666333333,0.0016344444166666,35.282000000000004,0.64,10.0,1016.042,5.684666666666667,0.75,265.0,0.0,0.6163702777333333,0.0002685209333333,2016.0,1.0,1.0,53.0,8,29.5,True,False,False,False,False,False,False,False,False,True,False,0.8660254037844387,-0.49999999999999983
2016-01-01 09:00:00,0.6398363888666666,0.0034391666833333,6.0285033333333336e-05,0.0433916666,0.0351058333333333,0.0071427777666666,0.01321999995,0.0318297222,0.0010136112166666,0.0042577777333333,0.0016500000666666,35.45166666666667,0.6416666666666667,10.0,1015.815,6.975,0.625,265.5,0.0,0.34384249995,0.0002652846055555,2016.0,1.0,1.0,53.0,9,29.5,True,False,False,False,False,False,False,False,False,True,False,0.7071067811865476,-0.7071067811865475
2016-01-01 10:00:00,1.2194161111,0.0034258333833333,7.221891666666666e-05,0.0432380555333333,0.05132805555,0.0071899999833333,0.0130580555166666,0.0341416667,0.0010102778166666,0.0042513889,0.0016211111333333,35.206,0.652,10.0,1015.576,6.466,0.0,266.4,0.0,0.8606705555833333,0.0002495413111111,2016.0,1.0,1.0,53.0,10,29.5,True,False,False,False,False,False,False,False,False,True,False,0.49999999999999994,-0.8660254037844387
2016-01-01 11:00:00,0.7987472222833334,0.00342249995,8.389500000000001e-05,0.04326750005,0.0593602778833333,0.0071141667,0.0131169444666666,0.0317616666833333,0.0010113889833333,0.0042119444333333,0.0016063888666666,35.00633333333334,0.66,10.0,1015.5736666666668,6.352666666666667,0.175,259.76666666666665,0.0,0.4551883333666666,0.0002629676111111,2016.0,1.0,1.0,53.0,11,29.5,True,False,False,False,False,False,False,False,False,True,False,0.258819045102521,-0.9659258262890682
2016-01-01 12:00:00,0.5370547221499999,0.0034188889333333,8.722941666666668e-05,0.0428325,0.0487241666,0.0069805555,0.0129136111,0.0311272222333333,0.0010125001333333,0.00425527785,0.0015933333166666,34.998666666666665,0.6653333333333333,10.0,1015.7073333333334,5.828666666666666,0.75,258.73333333333335,0.0,0.2702191667166666,0.0002620411055555,2016.0,1.0,1.0,53.0,12,29.5,True,False,False,False,False,False,False,True,False,False,False,1.2246467991473532e-16,-1.0
2016-01-01 13:00:00,0.3583766666833333,0.0064841666,6.123333333333333e-06,0.04177805555,0.0442780554999999,0.0070713888166666,0.0130983333333333,0.0301841667333333,0.0010105556,0.0042061111,0.0015619444333333,35.091,0.671,10.0,1015.623,5.8580000000000005,0.75,257.1,0.0,0.0846063889333333,0.0002257477722222,2016.0,1.0,1.0,53.0,13,29.5,True,False,False,False,False,False,False,True,False,False,False,-0.2588190451025208,-0.9659258262890683
2016-01-01 14:00:00,0.7567202778333333,0.1148661111333333,6.444613333333333e-05,0.0417216667,0.0267202778166666,0.00697138895,0.0128619444333333,0.02864916665,0.0423200000666666,0.0139369444333333,0.3151752778,36.10666666666667,0.64,10.0,1015.6933333333332,5.413333333333333,0.75,249.33333333333337,0.0,0.2316725000166666,0.0270612996555555,2016.0,1.0,1.0,53.0,14,29.5,True,False,False,False,False,False,False,True,False,False,False,-0.4999999999999998,-0.8660254037844388
2016-01-01 15:00:00,1.4705805556,0.0515741666666666,0.0001063889,0.0415169444833333,0.0438077778333333,0.00719166665,0.0128969444,0.02835194445,0.1721794444666667,0.0042302778,0.3337872221833333,36.901666666666664,0.62,10.0,1015.5003333333332,5.957666666666666,0.75,238.36666666666667,0.0,0.6808988888333334,0.0002288001666666,2016.0,1.0,1.0,53.0,15,29.5,True,False,False,False,False,False,False,True,False,False,False,-0.7071067811865471,-0.7071067811865479
