time,use_house_overall,generated_solar,dishwasher,homeoffice,fridge,winecellar,garagedoor,barn,well,microwave,livingroom,temperature,humidity,visibility,pressure,windspeed,cloudcover,windbearing,precipprobability,furnace,kitchen,year,month,day,weekofyear,hour,minute,wd_Friday,wd_Monday,wd_Saturday,wd_Sunday,wd_Thursday,wd_Tuesday,wd_Wednesday,time_Afternoon,time_Evening,time_Morning,time_Night,hour_sin,hour_cos,lag_1,lag_2,lag_3,lag_6,lag_12,lag_24,lag_48,roll_mean_3,roll_mean_6,roll_mean_12,roll_mean_24,appliance_sum,furnace_on,net_energy_lag_1,hour_block,is_weekend,is_night,dayofyear,dayofyear_sin,dayofyear_cos
2016-11-11 04:00:00,0.4815122222,0.0042677777833333,4.174999999999999e-06,0.04178333335,0.06285499995,0.01957638895,0.0131888888833333,0.0371055555333333,0.0010130555833333,0.0031841666833333,0.0017013889166666,30.950833333333332,0.7431666666666666,10.0,1027.444,3.069666666666667,0.2118333333333333,31.283333333333335,0.0,0.1051374999666666,0.0002126896277777,2016.0,11.0,11.0,45.0,4,29.5,True,False,False,False,False,False,False,False,False,True,False,0.8660254037844386,0.5000000000000001,0.7780688888833333,1.245037500016667,1.3434541666500002,,,,,1.12218685185,1.1184510185333334,0.6766862731597222,,0.1237383416999999,1,,1,0,1,316,-0.7469720876965551,0.6648553979642867
2016-11-11 05:00:00,0.4093983333666667,0.0042641666666666,3.34e-06,0.0417702777333333,0.0415283334,0.0153477777666666,0.0131969444166666,0.0345777777833333,0.0010052778,0.0032133333,0.0016977777666666,31.344,0.7463333333333334,10.0,1027.624,3.4796666666666667,0.0,37.833333333333336,0.0,0.0832622222166666,0.0002234331666666,2016.0,11.0,11.0,45.0,5,29.5,True,False,False,False,False,False,False,False,False,True,False,0.9659258262890684,0.2588190451025207,0.4815122222,0.7780688888833333,1.245037500016667,,,,,0.8348728703666667,1.0749168055555558,0.7060652314916668,,0.09567584004999989,1,0.4772444444166667,1,0,1,316,-0.7469720876965551,0.6648553979642867
2016-11-11 06:00:00,0.4665505555833333,0.0042794445166666,3.0006116666666667e-05,0.0418527777666666,0.0191844444166666,0.0150086110666666,0.0131752777499999,0.0371316666833333,0.0010152778166666,0.0032002776666666,0.0016908333666666,31.564166666666665,0.7483333333333333,10.0,1027.5891666666666,3.4283333333333337,0.4166666666666667,19.916666666666668,0.0,0.1492138889166666,0.0002529681277777,2016.0,11.0,11.0,45.0,6,29.5,True,False,False,False,False,False,False,False,False,True,False,1.0,6.123233995736766e-17,0.4093983333666667,0.4815122222,0.7780688888833333,,,,,0.5563264814833333,0.9052963425972224,0.7321472916791666,,0.07557028376666636,1,0.4051341667000001,1,0,1,316,-0.7469720876965551,0.6648553979642867
2016-11-11 07:00:00,0.5613177777999999,0.0042722222666666,4.417165e-05,0.04181361115,0.0615177777333333,0.01470611115,0.0130947221999999,0.0370866667166666,0.0010136111333333,0.0031941666666666,0.0016874999666666,31.78933333333333,0.7553333333333333,10.0,1027.7793333333332,4.074666666666667,0.6546666666666667,24.0,0.0,0.1922669444833333,0.0002326001888888,2016.0,11.0,11.0,45.0,7,29.5,True,False,False,False,False,False,False,False,False,True,False,0.9659258262890684,-0.2588190451025206,0.4665505555833333,0.4093983333666667,0.4815122222,,,,,0.45248703705000004,0.7873369444500001,0.7622346759375,,0.11756250504999978,1,0.4622711110666667,1,0,0,316,-0.7469720876965551,0.6648553979642867
2016-11-11 08:00:00,0.6066647222166667,0.0042702778333333,5.41711e-05,0.0418733334,0.0546761111,0.0667158333166666,0.0130772222666666,0.0392791667,0.0009488888666666,0.0032374998833333,0.0016474999999999,32.791666666666664,0.7345,10.0,1027.8131666666666,4.350833333333333,0.1928333333333333,20.116666666666667,0.0,0.2132366667333333,0.0002443577611111,2016.0,11.0,11.0,45.0,8,29.5,True,False,False,False,False,False,False,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.5613177777999999,0.4665505555833333,0.4093983333666667,,,,,0.4790888889166666,0.6569808796416667,0.7835347685319444,,0.1649116709666665,1,0.5570455555333333,2,0,0,316,-0.7469720876965551,0.6648553979642867
2016-11-11 09:00:00,0.6741480555333333,0.0042613888833333,6.028386666666667e-05,0.0418374999499999,0.0052341666833333,0.13237361115,0.0129919444499999,0.0436627777833333,0.00089888885,0.0031833334166666,0.0015066666499999,34.47966666666667,0.703,9.932,1027.618333333333,3.918333333333334,0.2036666666666667,30.533333333333335,0.0,0.2505280555333333,0.0002964849944444,2016.0,11.0,11.0,45.0,9,29.5,True,False,False,False,False,False,False,False,False,True,False,0.7071067811865476,-0.7071067811865475,0.6066647222166667,0.5613177777999999,0.4665505555833333,,,,,0.5448443518666667,0.550585416675,0.8053884027902778,,0.18541306174999986,1,0.6023944443833333,2,0,0,316,-0.7469720876965551,0.6648553979642867
2016-11-11 10:00:00,0.7568872222333333,0.0042349999833333,7.917058333333334e-05,0.0417083334166666,0.0608622222666666,0.0336197222,0.0129088889166666,0.03390055555,0.0009725,0.0031508332833333,0.0015897222,36.44316666666666,0.6715,9.954,1026.8995,4.247333333333334,0.0996666666666666,44.53333333333333,0.0,0.3578219444833334,0.0002502829222222,2016.0,11.0,11.0,45.0,10,29.5,True,False,False,False,False,False,False,False,False,True,False,0.4999999999999999,-0.8660254037844387,0.6741480555333333,0.6066647222166667,0.5613177777999999,,,,,0.6140435185166666,0.5332652777833333,0.8258581481583334,,0.13258500388333322,1,0.6698866666500001,2,0,0,316,-0.7469720876965551,0.6648553979642867
2016-11-11 11:00:00,0.96605555555,0.004225,4.055166666666667e-05,0.0413436110833333,0.0553736111,0.0149138888666666,0.0130927777833333,0.0355591667,0.0009574999666666,0.00317416665,0.0015527778166666,38.15333333333333,0.6466666666666667,10.0,1026.1466666666668,3.2466666666666666,0.2066666666666666,47.0,0.0,0.5662713888833333,0.0002384324055555,2016.0,11.0,11.0,45.0,11,29.5,True,False,False,False,False,False,False,False,False,True,False,0.258819045102521,-0.9659258262890682,0.7568872222333333,0.6741480555333333,0.6066647222166667,,,,,0.6792333333277778,0.5791611111222221,0.827038958338889,,0.11001888494999985,1,0.75265222225,2,0,0,316,-0.7469720876965551,0.6648553979642867
2016-11-11 12:00:00,0.5987086111666666,0.0088069444666666,4.30589e-05,0.0399958333,0.0147811110333333,0.0147575000333333,0.0129688888333333,0.0317963889,0.00087861115,0.0030824999833333,0.0015144444333333,39.17316666666667,0.6471666666666667,9.871,1025.4153333333334,2.7993333333333337,0.8045000000000001,77.66666666666667,0.0,0.30331861115,0.0002652852277777,2016.0,11.0,11.0,45.0,12,29.5,True,False,False,False,False,False,False,True,False,False,False,1.2246467991473532e-16,-1.0,0.96605555555,0.7568872222333333,0.6741480555333333,,,,,0.7990302777722222,0.6719373148194444,0.7886168287083333,,0.0653391699999999,1,0.96183055555,3,0,0,316,-0.7469720876965551,0.6648553979642867
2016-11-11 13:00:00,0.5014238889166667,0.0326575,5.69506e-05,0.0397186110666666,0.0536905555833333,0.0146791666666666,0.01277166665,0.0314830555,0.0010038889166666,0.0030733334333333,0.0083316666333333,39.449,0.6653333333333333,9.896666666666668,1024.8473333333334,2.0236666666666667,1.0,63.7,0.0,0.2083113888333333,0.0002338974166666,2016.0,11.0,11.0,45.0,13,29.5,True,False,False,False,False,False,False,True,False,False,False,-0.2588190451025208,-0.9659258262890684,0.5987086111666666,0.96605555555,0.7568872222333333,,,,,0.7738837963166666,0.6939636574166667,0.7406503009333334,,0.10398695069999979,1,0.5899016667,3,0,0,316,-0.7469720876965551,0.6648553979642867
