time,use_house_overall,generated_solar,dishwasher,homeoffice,fridge,winecellar,garagedoor,barn,well,microwave,livingroom,temperature,humidity,visibility,pressure,windspeed,cloudcover,windbearing,precipprobability,furnace,kitchen,year,month,day,weekofyear,hour,minute,weekday,timing
2016-01-01 05:00:00,1.0441297222333334,0.0033069444333333332,6.361998333333333e-05,0.2418141666166667,0.03786111113333333,0.06335055554999999,0.01304611105,0.03888055558333334,0.0010422223666666668,0.0216516667,0.0015047223,36.131,0.6196666666666667,10.0,1016.888,9.150333333333332,0.75,282.1,0.0,0.3931880555333333,0.0002735227888888889,2016.0,1.0,1.0,53.0,5,29.5,Friday,Morning
2016-01-01 06:00:00,0.9181669444666667,0.003421666666666666,9.917223333333333e-05,0.0432936111,0.07552194443333334,0.1129416667,0.012836111083333332,0.0391813889,0.0010208334333333335,0.004216111083333333,0.0016180555666666665,35.83866666666666,0.61,10.0,1016.232,8.283999999999999,0.75,284.73333333333335,0.0,0.45670750001666666,0.0002495414888888889,2016.0,1.0,1.0,53.0,6,29.5,Friday,Morning
2016-01-01 07:00:00,0.7147361110833333,0.003448333333333333,4.2506666666666664e-05,0.043416111066666666,0.059485555600000004,0.0071841666500000005,0.013298611066666667,0.03443916666666667,0.0010138889333333333,0.004245555533333334,0.0016286111,35.385,0.613,10.0,1015.989,7.926999999999999,0.75,279.4,0.0,0.37217,0.00024213479444444444,2016.0,1.0,1.0,53.0,7,29.5,Friday,Morning
2016-01-01 08:00:00,0.9600127777833334,0.003447499966666667,0.00013833726666666668,0.0650138889,0.06041194445,0.007044722233333333,0.012925277783333333,0.03419500003333333,0.001016389,0.004274166633333334,0.0016344444166666665,35.282000000000004,0.64,10.0,1016.042,5.684666666666667,0.75,265.0,0.0,0.6163702777333333,0.0002685209333333334,2016.0,1.0,1.0,53.0,8,29.5,Friday,Morning
2016-01-01 09:00:00,0.6398363888666666,0.0034391666833333335,6.0285033333333336e-05,0.0433916666,0.03510583333333333,0.007142777766666666,0.01321999995,0.0318297222,0.0010136112166666668,0.004257777733333333,0.0016500000666666668,35.45166666666667,0.6416666666666667,10.0,1015.815,6.975,0.625,265.5,0.0,0.34384249995,0.0002652846055555556,2016.0,1.0,1.0,53.0,9,29.5,Friday,Morning
2016-01-01 10:00:00,1.2194161111,0.003425833383333333,7.221891666666666e-05,0.04323805553333333,0.05132805555,0.007189999983333333,0.013058055516666667,0.0341416667,0.0010102778166666665,0.0042513889,0.0016211111333333333,35.206,0.652,10.0,1015.5759999999999,6.466,0.0,266.4,0.0,0.8606705555833333,0.00024954131111111115,2016.0,1.0,1.0,53.0,10,29.5,Friday,Morning
2016-01-01 11:00:00,0.7987472222833334,0.00342249995,8.389500000000001e-05,0.04326750005,0.05936027788333333,0.0071141667,0.013116944466666667,0.031761666683333335,0.0010113889833333334,0.004211944433333333,0.0016063888666666666,35.00633333333334,0.66,10.0,1015.5736666666667,6.352666666666667,0.175,259.76666666666665,0.0,0.45518833336666664,0.0002629676111111111,2016.0,1.0,1.0,53.0,11,29.5,Friday,Morning
2016-01-01 12:00:00,0.5370547221499999,0.0034188889333333335,8.722941666666668e-05,0.0428325,0.0487241666,0.0069805555,0.0129136111,0.03112722223333333,0.0010125001333333333,0.00425527785,0.0015933333166666668,34.998666666666665,0.6653333333333333,10.0,1015.7073333333334,5.828666666666666,0.75,258.73333333333335,0.0,0.2702191667166666,0.0002620411055555556,2016.0,1.0,1.0,53.0,12,29.5,Friday,Afternoon
2016-01-01 13:00:00,0.35837666668333334,0.0064841666,6.123333333333333e-06,0.04177805555,0.044278055499999996,0.007071388816666666,0.013098333333333333,0.030184166733333333,0.0010105556,0.004206111100000001,0.0015619444333333334,35.091,0.671,10.0,1015.623,5.8580000000000005,0.75,257.1,0.0,0.08460638893333333,0.00022574777222222222,2016.0,1.0,1.0,53.0,13,29.5,Friday,Afternoon
2016-01-01 14:00:00,0.7567202778333333,0.11486611113333334,6.444613333333333e-05,0.0417216667,0.02672027781666667,0.00697138895,0.012861944433333333,0.02864916665,0.04232000006666667,0.013936944433333336,0.3151752778,36.10666666666667,0.64,10.0,1015.6933333333333,5.413333333333333,0.75,249.33333333333334,0.0,0.23167250001666667,0.027061299655555555,2016.0,1.0,1.0,53.0,14,29.5,Friday,Afternoon
2016-01-01 15:00:00,1.4705805556,0.05157416666666667,0.00010638890000000001,0.04151694448333333,0.04380777783333333,0.00719166665,0.0128969444,0.02835194445,0.1721794444666667,0.0042302778000000004,0.33378722218333334,36.901666666666664,0.62,10.0,1015.5003333333333,5.957666666666666,0.75,238.36666666666667,0.0,0.6808988888333334,0.00022880016666666667,2016.0,1.0,1.0,53.0,15,29.5,Friday,Afternoon
2016-01-01 16:00:00,1.3216363889166667,0.018721111116666668,0.00011306005,0.09471388883333334,0.12120194441666668,0.007458333316666666,0.012935555516666667,0.03819916658333333,0.0010313889166666667,0.02846055555,0.14508416659999998,37.046,0.608,10.0,1014.7980000000001,8.258000000000001,0.75,252.2,0.0,0.5110500001166667,0.0002466712944444444,2016.0,1.0,1.0,53.0,16,29.5,Friday,Afternoon
2016-01-01 17:00:00,1.9166886111166666,0.02037944445,0.00010194886666666668,0.04131972218333333,0.1183930555,0.025804722266666667,0.012893333366666667,0.029496666683333332,0.09701250006666666,0.004128888883333333,0.10075527771666667,37.23633333333334,0.59,10.0,1013.8286666666667,9.529333333333334,0.8583333333333333,272.43333333333334,0.0,0.46748055559999996,0.00025009908333333334,2016.0,1.0,1.0,53.0,17,29.5,Friday,Evening
